Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-07-01,2320.06,2334.15,2293.03,2293.03,16815203
2015-07-02,2298.5,2307.9,2285.41,2294.37,21034366
2015-07-03,2295.87,2299.45,2264.91,2278.17,8786069
2015-07-06,2263.47,2279.27,2249,2272.09,16300004
2015-07-07,2272.83,2286.31,2218.25,2218.64,18751658
2015-07-08,2219.58,2229.92,2203.06,2216.39,27705184
2015-07-09,2219.76,2230.65,2210.14,2230.65,17056341
2015-07-10,2244.68,2279.19,2240.97,2270.84,19545110
2015-07-13,2275.22,2289.16,2263.44,2269,13054745
2015-07-14,2269.4,2270.06,2247.96,2259.98,13764952
2015-07-15,2262.78,2264.17,2240.78,2257.62,12665003
2015-07-16,2264.61,2298.54,2259.34,2298.54,23860645
2015-07-17,2300.1,2303.66,2281.13,2285.03,15717219
2015-07-20,2282.98,2288.47,2244.3,2244.63,12860028
2015-07-21,2249.27,2257.91,2228.47,2249.67,13729941
2015-07-22,2247.23,2247.23,2182.34,2185.83,21947521
2015-07-23,2175.41,2202.6,2170,2200.84,21952079
2015-07-24,2195.82,2208.43,2183.02,2187.67,18460636
2015-07-27,2190.8,2193.31,2158.69,2189.08,17703450
2015-07-28,2192.86,2209.13,2190.46,2194.24,23563175
2015-07-29,2200.4,2236.2,2192.17,2212.02,20601596
2015-07-30,2216.29,2224.3,2180.6,2188.92,16737609
2015-07-31,2193.59,2227.51,2184.81,2227.51,23598308
2015-08-03,2221.27,2231.97,2216.55,2230.28,9706738
2015-08-04,2228.64,2231.86,2216.04,2227.98,13745311
2015-08-05,2228.26,2258.62,2224.8,2258.62,17294142
2015-08-06,2241.44,2241.44,2188.54,2196.22,30834016
2015-08-07,2196.01,2211.09,2188.72,2196.78,17697221
2015-08-10,2203.61,2222.25,2197.04,2222.25,9704075
2015-08-11,2221.86,2237.35,2212.88,2219.57,16676096
2015-08-12,2217.08,2217.08,2182.62,2200.08,19499134
2015-08-13,2203.68,2226.91,2203.68,2224.74,21532201
2015-08-14,2224.61,2234.45,2193.79,2198.22,17190628
2015-08-17,2200.35,2205.62,2169.82,2174.11,19793654
2015-08-18,2171.63,2179.62,2160.07,2169.59,27974958
2015-08-19,2179.98,2194.79,2167.16,2192.14,33013839
2015-08-20,2189.96,2206.93,2183.58,2200.86,28090266
2015-08-21,2181.55,2196.2,2167.62,2179.73,25955376
2015-08-24,2139.45,2139.45,2014.69,2056.38,43971652
2015-08-25,2053.54,2112.09,2049.22,2070.56,34626691
2015-08-26,2054.43,2082.36,2046.62,2074.49,30960027
2015-08-27,2091.04,2118.29,2091.04,2117.83,28655734
2015-08-28,2126.23,2145.12,2108.53,2145.12,25711607
2015-08-31,2142.45,2163.71,2131.09,2163.71,30147430
2015-09-01,2149,2149,2111.2,2115.75,22296286
2015-09-02,2119.03,2124.52,2106.99,2107.58,22525227
2015-09-03,2115.73,2156.71,2115.73,2155.07,23069834
2015-09-04,2150.62,2153.7,2131.59,2146.47,23980489
2015-09-07,2154.74,2162.86,2132.36,2132.36,10647003
2015-09-08,2137.37,2153.52,2133.73,2135.15,21347789
2015-09-09,2153.54,2168.98,2142.53,2142.53,38263870
2015-09-10,2140.69,2184.96,2139.25,2184.96,27994022
2015-09-11,2185.48,2194.72,2178.8,2185.46,18688839
2015-09-14,2175.24,2183.71,2163.73,2183.05,17630529
2015-09-15,2182.07,2187.22,2170.87,2185.88,20561585
2015-09-16,2187.9,2192.36,2168.89,2181.8,20614117
2015-09-17,2179.71,2202.05,2177.94,2199.46,25985120
2015-09-18,2199.43,2199.43,2148.57,2168.19,38806454
2015-09-21,2166.54,2180.91,2162.07,2178.27,14545431
2015-09-22,2178.38,2181.98,2131.39,2137.88,18530603
2015-09-23,2128.39,2139.45,2102.51,2106.8,19943227
2015-09-24,2110.49,2120.15,2070.21,2082.95,30875339
2015-09-25,2093.29,2107.52,2087.66,2091.73,16956137
2015-09-28,2092.84,2097.68,2054.2,2059.41,13971631
2015-09-29,2031.63,2050.89,2008.92,2043,21979717
2015-09-30,2052.89,2067.06,2042.23,2066.37,28396493
2015-10-01,2074.84,2078.07,2043.05,2049.93,22103759
2015-10-02,2053.15,2061.12,2025.98,2036.32,19857486
2015-10-05,2046.23,2095.95,2046.23,2088.27,22866172
2015-10-06,2089.63,2109.58,2079.12,2102.87,28048020
2015-10-07,2106.04,2116.03,2092.35,2110.39,31225588
2015-10-08,2104,2131.35,2096.24,2126.48,36549968
2015-10-09,2129.49,2147.11,2129.03,2143.28,30482714
2015-10-12,2147.86,2152.93,2125.08,2133.56,24323352
2015-10-13,2129.58,2129.58,2108.16,2123.43,24783626
2015-10-14,2115.39,2136.06,2105.46,2118.97,22690911
2015-10-15,2125.36,2142,2125.36,2136.42,18007766
2015-10-16,2146.31,2152.37,2121.94,2121.94,27072740
2015-10-19,2124.66,2134.36,2107.63,2111.04,17394911
2015-10-20,2108.15,2119.62,2103.26,2116.81,21780592
2015-10-21,2119,2122.06,2100.66,2105.65,23398582
2015-10-22,2101.44,2116.42,2094.4,2106.27,22615245
2015-10-23,2108.45,2123.32,2103.2,2107.43,21303462
2015-10-26,2093.76,2125.08,2087.42,2110.74,21235757
2015-10-27,2108.5,2114.54,2099.7,2113.06,21819019
2015-10-28,2108.61,2108.61,2093.71,2105.63,21015636
2015-10-29,2098.37,2102.64,2054.34,2059.34,25113008
2015-10-30,2059.5,2064.57,2042.72,2060.03,24984430
2015-11-02,2061.56,2081.58,2055,2077.09,14404234
2015-11-03,2079.14,2083.74,2060.15,2061.38,16348212
2015-11-04,2063.18,2082.64,2052.25,2063.08,24750500
2015-11-05,2058.67,2063.97,2041.24,2041.24,18920608
2015-11-06,2040.32,2044.87,2015.31,2019.78,34035532
2015-11-09,2023.65,2028.66,1997.23,2012.97,16219492
2015-11-10,2012.57,2033.2,2004.7,2021.92,31509478
2015-11-12,2029.2,2036.53,2004.3,2013.67,27271477
2015-11-13,2006.62,2011.12,1977.99,1978.87,27606547
2015-11-16,1972.9,1984.91,1960.36,1971.43,21202973
2015-11-17,1973.98,2010.86,1973.98,2007.62,24982435
2015-11-18,2004.13,2026.35,1993.37,2023.98,30613799
2015-11-19,2033.94,2033.94,2005.91,2009.73,20099244
2015-11-20,2011.7,2025.06,2009.4,2021.99,14542601
2015-11-23,2018.63,2018.63,1959.84,1982.57,24843759
2015-11-24,1983.03,1984.11,1929.84,1943.99,24322732
2015-11-25,1947.12,1964.07,1934.58,1943.3,29961611
2015-11-26,1945.77,1964.64,1944.45,1963.89,23064326
2015-11-27,1962.26,1962.26,1931.3,1936.05,21118866
2015-11-30,1934.54,1943.86,1919.88,1925.72,55787549
2015-12-01,1930.2,1944.65,1918.39,1923.94,23611785
2015-12-02,1921.82,1924.12,1875.13,1886.5,29987880
2015-12-03,1884.46,1902.1,1862.52,1867.96,50215218
2015-12-04,1858.4,1868.24,1807.89,1868.24,48502128
2015-12-07,1870.57,1890.72,1863.06,1864.92,27718281
2015-12-08,1862.91,1877.22,1811.23,1814.88,39020658
2015-12-09,1816.59,1823.34,1769.6,1773.21,41043216
2015-12-10,1775.94,1810.02,1775.94,1798.86,44502060
2015-12-11,1811.51,1825.03,1755.66,1757.37,40775355
2015-12-14,1759.14,1769.51,1745.97,1754.74,24707975
2015-12-15,1757.73,1778.37,1757.42,1771.99,25409799
2015-12-16,1775.68,1811.64,1770.59,1803.68,27975042
2015-12-17,1808.52,1864.69,1808.52,1840.57,51906163
2015-12-18,1832.7,1869.75,1825.35,1858.87,54211142
2015-12-21,1854.45,1877.28,1851,1866.19,20335365
2015-12-22,1866.89,1876.86,1854.5,1873.78,23429029
2015-12-23,1880.5,1887.49,1873.16,1879.75,13306194
2015-12-28,1874.62,1881.95,1869.91,1876.33,11719511
2015-12-29,1879.39,1907.91,1879.39,1893.32,15185090
2015-12-30,1891.75,1899.6,1858.61,1859.15,21178765
